tail;head;relation
Cutters and Trimmers, Hand;clothing cutter;broadMatch
Cutting and Slicing Machine Setters, Operators, and Tenders;rubber cutting machine tender;broadMatch
Cutting and Slicing Machine Setters, Operators, and Tenders;automated cutting machine operator;broadMatch
Cutting and Slicing Machine Setters, Operators, and Tenders;veneer slicer operator;broadMatch
Cutting and Slicing Machine Setters, Operators, and Tenders;cutting machine operator;broadMatch
Cutting and Slicing Machine Setters, Operators, and Tenders;paper cutter operator;broadMatch
Cutting and Slicing Machine Setters, Operators, and Tenders;water jet cutter operator;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;fibre machine tender;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;extrusion machine operator;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;glass forming machine operator;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;cake press operator;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;auger press operator;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;candy machine operator;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;chocolate moulding operator;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;oilseed presser;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;plodder operator;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;record press operator;broadMatch
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;V-belt builder;broadMatch
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;coking furnace operator;broadMatch
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;kiln firer;broadMatch
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;lime kiln operator;broadMatch
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;metal annealer;broadMatch
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;tunnel kiln operator;broadMatch
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;glass annealer;broadMatch
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;clay products dry kiln operator;broadMatch
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;wood drying kiln operator;broadMatch
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;clay kiln burner;broadMatch
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;drawing kiln operator;broadMatch
Inspectors, Testers, Sorters, Samplers, and Weighers;battery test technician;broadMatch
Inspectors, Testers, Sorters, Samplers, and Weighers;cigar inspector;broadMatch
Inspectors, Testers, Sorters, Samplers, and Weighers;clothing quality inspector;broadMatch
Inspectors, Testers, Sorters, Samplers, and Weighers;electrical equipment inspector;broadMatch
Inspectors, Testers, Sorters, Samplers, and Weighers;footwear quality controller;broadMatch
Inspectors, Testers, Sorters, Samplers, and Weighers;leather goods quality controller;broadMatch
Inspectors, Testers, Sorters, Samplers, and Weighers;leather sorter;broadMatch
Inspectors, Testers, Sorters, Samplers, and Weighers;metal product quality control inspector;broadMatch
Inspectors, Testers, Sorters, Samplers, and Weighers;product assembly inspector;broadMatch
Inspectors, Testers, Sorters, Samplers, and Weighers;textile quality inspector;broadMatch
Jewelers and Precious Stone and Metal Workers;silversmith;broadMatch
Jewelers and Precious Stone and Metal Workers;jewellery mounter;broadMatch
Jewelers and Precious Stone and Metal Workers;goldsmith;broadMatch
Jewelers and Precious Stone and Metal Workers;jewellery repairer;broadMatch
Jewelers and Precious Stone and Metal Workers;jewellery assembler;broadMatch
Jewelers and Precious Stone and Metal Workers;jeweller;exactMatch
Jewelers and Precious Stone and Metal Workers;filigree maker;broadMatch
Jewelers and Precious Stone and Metal Workers;jewellery designer;broadMatch
Gem and Diamond Workers;precious stone setter;broadMatch
Gem and Diamond Workers;precious stone cutter;broadMatch
Gem and Diamond Workers;gemmologist;broadMatch
Dental Laboratory Technicians;dental technician;exactMatch
Medical Appliance Technicians;prosthetic-orthotics technician;exactMatch
Medical Appliance Technicians;dental technician;broadMatch
Medical Appliance Technicians;audiology technician;broadMatch
Medical Appliance Technicians;prosthetist-orthotist;broadMatch
Ophthalmic Laboratory Technicians;optical technician;exactMatch
Packaging and Filling Machine Operators and Tenders;packaging and filling machine operator;broadMatch
Packaging and Filling Machine Operators and Tenders;canning and bottling line operator;broadMatch
Packaging and Filling Machine Operators and Tenders;leather goods packing operator;broadMatch
Painting, Coating, and Decorating Workers;glass painter;broadMatch
Painting, Coating, and Decorating Workers;decorative painter;broadMatch
Painting, Coating, and Decorating Workers;porcelain painter;broadMatch
Painting, Coating, and Decorating Workers;furniture finisher;broadMatch
Painting, Coating, and Decorating Workers;wood painter;broadMatch
Painting, Coating, and Decorating Workers;leather goods finishing operator;broadMatch
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders;rustproofer;broadMatch
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders;transport equipment painter;broadMatch
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders;dip tank operator;broadMatch
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders;lacquer spray gun operator;broadMatch
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders;coating machine operator;broadMatch
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders;electroplating machine operator;broadMatch
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders;marine painter;broadMatch
Semiconductor Processing Technicians;electronic equipment assembler;narrowMatch
Semiconductor Processing Technicians;semiconductor processor;exactMatch
Photographic Process Workers and Processing Machine Operators;motion picture film developer;broadMatch
Photographic Process Workers and Processing Machine Operators;photographic developer;broadMatch
Computer Numerically Controlled Tool Operators;tool and die maker;broadMatch
Computer Numerically Controlled Tool Operators;metal planer operator;broadMatch
Computer Numerically Controlled Tool Operators;deburring machine operator;broadMatch
Computer Numerically Controlled Tool Operators;milling machine operator;broadMatch
Computer Numerically Controlled Tool Operators;lathe and turning machine operator;broadMatch
Computer Numerically Controlled Tool Operators;gear machinist;broadMatch
Computer Numerically Controlled Tool Operators;screw machine operator;broadMatch
Computer Numerically Controlled Tool Operators;computer numerical control machine operator;exactMatch
Computer Numerically Controlled Tool Programmers;numerical tool and process control programmer;exactMatch
Adhesive Bonding Machine Operators and Tenders;wood products assembler;broadMatch
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders;wash deinking operator;broadMatch
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders;refining machine operator;broadMatch
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders;cacao beans cleaner;broadMatch
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders;clarifier;broadMatch
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders;tumbling machine operator;broadMatch
Etchers and Engravers;metal engraver;broadMatch
Etchers and Engravers;engraving machine operator;broadMatch
Etchers and Engravers;stone engraver;broadMatch
Etchers and Engravers;printmaker;broadMatch
Etchers and Engravers;glass engraver;broadMatch
Etchers and Engravers;screen making technician;broadMatch
Etchers and Engravers;jewellery engraver;broadMatch
Molders, Shapers, and Casters, Except Metal and Plastic;casting mould maker;broadMatch
Molders, Shapers, and Casters, Except Metal and Plastic;pottery and porcelain caster;broadMatch
Molders, Shapers, and Casters, Except Metal and Plastic;precast moulder;broadMatch
Stone Cutters and Carvers, Manufacturing;stonemason;broadMatch
Stone Cutters and Carvers, Manufacturing;stone engraver;broadMatch
Glass Blowers, Molders, Benders, and Finishers;glass polisher;broadMatch
Glass Blowers, Molders, Benders, and Finishers;glass forming machine operator;broadMatch
Glass Blowers, Molders, Benders, and Finishers;glass artist;broadMatch
Glass Blowers, Molders, Benders, and Finishers;drawing kiln operator;broadMatch
Potters, Manufacturing;ceramicist;broadMatch
Potters, Manufacturing;hand brick moulder;broadMatch
Potters, Manufacturing;dry press operator;broadMatch
Potters, Manufacturing;auger press operator;broadMatch
Potters, Manufacturing;clay products dry kiln operator;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;paper bag machine operator;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;paper stationery machine operator;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;tissue paper perforating and rewinding operator;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;corrugator operator;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;print folding operator;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;absorbent pad machine operator;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;envelope maker;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;artisan papermaker;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;bindery operator;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;bleacher operator;broadMatch
Paper Goods Machine Setters, Operators, and Tenders;paper pulp moulding operator;broadMatch
Tire Builders;tyre builder;exactMatch
Helpers--Production Workers;factory hand;exactMatch
Production Workers, All Other;brush maker;broadMatch
Production Workers, All Other;cigarette making machine operator;broadMatch
Production Workers, All Other;coagulation operator;broadMatch
Production Workers, All Other;cosmetics production machine operator;broadMatch
Production Workers, All Other;leather finishing operator;broadMatch
Production Workers, All Other;mattress maker;broadMatch
Production Workers, All Other;record press operator;broadMatch
Production Workers, All Other;soap maker;broadMatch
Production Workers, All Other;textile printer;broadMatch
Production Workers, All Other;V-belt builder;broadMatch
Production Workers, All Other;V-belt coverer;broadMatch
Production Workers, All Other;V-belt finisher;broadMatch
Aircraft Cargo Handling Supervisors;aircraft cargo operations coordinator;exactMatch
First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand;stevedore superintendent;broadMatch
Recycling Coordinators;recycling specialist;exactMatch
Recycling Coordinators;waste management supervisor;narrowMatch
Recycling Coordinators;waste broker;narrowMatch
